Id,NAME,Cap,EV,Выручка,Чистаяприбыль,P/E,P/S,P/B,EV/EBITDA,долг/EBITDA
1,Газпром,6741.00,10613.00,6321.00,0.10,49934.20,1.10,0.50,7.20,2.60
2,Роснефть,5361.00,9146.00,5757.00,324.00,16.50,0.90,1.20,7.60,3.10
3,НОВАТЭК,4955.00,5058.00,712.00,169.00,29.30,7.00,3.10,12.90,0.30
4,Лукойл,4101.00,4417.00,5639.00,15.20,269.80,0.70,1.00,6.40,0.50
5,ГМК Норникель,4000.00,4329.00,1117.00,245.40,16.30,3.60,14.20,7.80,0.60
6,Газпромнефть,2017.00,2564.00,2000.00,118.00,17.10,1.00,1.00,6.20,1.30
7,Полюс золото,1871.00,2027.00,364.00,119.20,15.70,5.10,11.40,7.50,0.60
8,Яндекс,1642.00,1487.00,218.00,21.00,78.10,7.50,8.30,29.90,-3.10
9,НЛМК,1549.00,1744.00,667.00,89.20,17.40,2.30,4.80,9.10,1.00
10,Северсталь,1498.00,1647.00,486.00,74.60,20.10,3.10,8.20,9.40,0.90
11,Сургутнефтегаз,1455.00,-2374.00,1182.00,743.00,2.00,1.20,0.30,-9.50,-15.40
12,Татнефть,1131.00,1126.00,721.00,104.60,10.80,1.60,1.40,6.00,0.00
13,Транснефть,1053.00,1580.00,962.00,133.00,7.90,1.10,0.50,3.60,1.20
14,АЛРОСА,954.00,1035.00,222.00,32.20,29.60,4.30,3.60,11.80,0.90
15,Русал,789.00,1200.00,618.00,71.40,11.00,1.30,2.60,19.10,6.50
16,ММК,767.00,761.00,463.00,43.70,17.60,1.70,2.30,7.00,-0.10
17,ПИК СЗ,762.00,898.00,380.00,86.00,8.90,2.00,4.60,8.00,1.20
18,Полиметалл,749.00,849.00,207.00,78.30,9.60,3.60,5.10,7.00,0.80
19,Ozon,676.00,598.00,104.00,-22.30,-30.40,6.50,8.60,-51.10,6.70
20,X5 Retail Group,644.00,886.00,1978.00,28.30,22.80,0.30,-64.10,3.60,1.00
21,МТС,629.00,947.00,495.00,61.40,10.20,1.30,-6.30,4.40,1.50
22,ФосАгро,596.00,747.00,254.00,46.80,12.70,2.30,5.70,8.90,1.80
23,Магнит,546.00,667.00,1554.00,33.00,16.50,0.40,3.60,3.70,0.70
24,En+,530.00,1256.00,747.00,73.30,7.20,0.70,7.40,9.40,5.40
25,Fix Price,478.00,477.00,190.00,17.60,27.20,2.50,-125.80,13.00,0.00
26,ИнтерРАО,454.00,126.00,986.00,75.50,6.00,0.50,0.80,1.00,-2.70
27,Московская биржа,394.00,290.00,49.00,25.20,15.70,8.10,3.70,8.20,-3.00
28,Mail.Ru Group,365.00,370.00,101.00,-20.90,-17.40,3.60,14.80,13.80,0.20
29,Русгидро,354.00,502.00,383.00,67.00,5.30,0.90,0.60,4.20,1.20
30,ВСМПО-АВИСМА,353.00,387.00,89.00,6.60,53.50,4.00,1.80,11.80,1.00
31,АФК Система,285.00,895.00,692.00,16.00,17.80,0.40,-3.10,3.80,2.60
32,Россети,265.00,763.00,1002.00,43.90,6.00,0.30,0.20,2.60,1.70
33,Ростелеком,258.00,631.00,565.00,23.30,11.00,0.50,6.60,3.30,1.90
34,ФСК ЕЭС,256.00,453.00,237.00,69.40,3.70,1.10,0.30,3.40,1.50
35,Акрон,245.00,345.00,120.00,3.80,63.90,2.00,5.70,9.80,2.80
36,Башнефть,237.00,360.00,527.00,-11.10,-21.30,0.40,0.50,11.20,3.80
37,ОАК,224.00,625.00,432.00,-152.00,-1.50,0.50,-1.10,-6.60,-4.20
38,Совкомфлот,207.00,315.00,97.00,19.30,10.70,2.10,0.70,4.80,1.70
39,НКНХ,204.00,285.00,154.00,9.00,22.60,1.30,1.50,9.80,2.80
40,VEON,197.00,787.00,608.00,-26.60,-7.40,0.30,-0.70,3.00,2.20
41,МГТС,188.00,186.00,41.00,12.90,14.60,4.60,2.30,7.90,-0.10
42,Распадская,180.00,138.00,42.00,12.70,14.20,4.30,2.30,9.70,-3.00
43,Казаньоргсинтез,180.00,172.00,63.00,8.40,21.40,2.90,2.80,12.70,-0.60
44,Юнипро,173.00,173.00,75.00,13.80,12.60,2.30,1.40,6.50,0.00
45,Аэрофлот,165.00,823.00,302.00,-113.00,-1.50,0.50,-1.50,30.50,24.40
46,HeadHunter,160.00,165.00,8.00,2.70,58.70,19.40,-16.20,39.40,1.20
47,Русагро,145.00,214.00,159.00,24.30,6.00,0.90,1.20,6.70,2.20
48,ЧТПЗ,144.00,223.00,138.00,6.70,21.50,1.00,-29.30,7.80,2.80
49,НМТП,139.00,169.00,46.00,4.80,28.70,3.00,2.70,5.50,1.00
50,Сегежа,116.00,166.00,69.00,-1.40,-86.10,1.70,17.90,9.50,2.80
51,М.Видео,115.00,156.00,418.00,10.30,11.20,0.30,-3.10,3.20,0.80
52,Лента,114.00,205.00,446.00,16.50,6.90,0.30,1.20,4.60,2.00
53,Детский Мир,104.00,122.00,143.00,7.30,14.20,0.70,-25.10,7.20,1.10
54,Globaltrans,103.00,130.00,68.00,10.60,9.80,1.50,2.20,4.90,1.00
55,ТМК,103.00,230.00,223.00,24.30,4.20,0.50,1.60,5.40,3.00
57,Черкизово,97.00,161.00,129.00,13.90,7.00,0.80,1.40,6.10,2.40
58,PETROPAVLOVSK,88.00,125.00,71.00,-3.30,-26.70,1.20,1.80,4.90,1.50
59,Мосэнерго,86.00,93.00,181.00,8.00,10.70,0.50,0.30,3.10,0.20
60,ЯТЭК,78.00,85.00,6.00,0.70,119.50,12.30,6.50,26.70,2.20
61,ЛСР Группа,76.00,93.00,118.00,12.00,6.30,0.60,0.90,3.40,0.60
62,ОГК-2,75.00,119.00,121.00,13.30,5.60,0.60,0.50,3.40,1.30
63,КуйбышевАзот,68.00,89.00,53.00,0.70,94.20,1.30,2.30,9.40,2.20
64,Россети Ленэнерго,67.00,97.00,83.00,12.00,5.60,0.80,0.50,2.80,0.80
65,МОЭСК,60.00,145.00,164.00,4.70,12.80,0.40,0.30,4.30,2.50
66,Мать и Дитя (MD),59.00,62.00,19.00,4.20,14.10,3.10,3.00,10.30,0.50
67,Иркутскэнерго,55.00,235.00,115.00,1.30,41.60,0.50,0.60,12.30,9.40
68,ДВМП,53.00,81.00,62.00,8.00,6.60,0.90,-16.10,6.60,2.20
69,Протек,53.00,49.00,266.00,3.50,15.20,0.20,1.70,5.00,-0.40
70,АВТОВАЗ,53.00,137.00,226.00,-9.70,-5.50,0.20,-0.70,-42.40,-26.10
71,Алроса Нюрба,52.00,52.00,36.00,17.30,3.00,1.50,0.94,4.00,-3.59
72,Мечел,52.00,367.00,366.00,0.80,64.10,0.10,-0.20,8.90,7.70
73,САФМАР,52.00,122.00,14.00,-3.70,-13.90,3.60,0.80,24.40,-1.00
74,КАМАЗ,51.00,135.00,213.00,3.30,15.50,0.20,1.40,8.60,5.40
75,Инград,51.00,144.00,71.00,1.10,48.40,0.70,6.80,16.40,10.60
76,КИВИ (QIWI),45.00,17.00,26.00,10.30,4.40,1.70,2.20,1.20,-2.10
77,Русснефть,45.00,135.00,133.00,-17.00,-2.70,0.30,1.80,-27.00,-17.90
78,ТГК-1,43.00,59.00,89.00,8.30,5.20,0.50,0.30,2.70,0.70
79,Global Ports,42.00,42.00,0.00,0.00,14115.30,1411.50,1764.40,2119.40,2.20
80,Белуга Групп,42.00,54.00,63.00,2.50,17.10,0.70,6.50,5.90,1.30
81,Дикси,41.00,70.00,283.00,-6.00,-6.70,0.10,-92.60,6.40,2.70
82,Русская аквакультура,40.00,46.00,8.00,3.10,12.80,4.80,3.50,13.60,1.80
83,Селигдар,39.00,76.00,33.00,0.20,162.80,1.20,1.90,5.30,2.60
84,Славнефть Мегионнефтегаз,39.00,94.00,189.00,11.80,3.30,0.20,0.30,-120.00,-71.90
85,Эталон,36.00,61.00,79.00,2.00,17.60,0.50,0.70,3.70,1.50
86,Аптеки 36 и 6,31.00,70.00,39.00,6.40,4.90,0.80,-1.70,14.90,8.30
87,Русолово,30.00,35.00,3.00,-0.40,-70.70,10.90,7.60,114.20,17.10
88,ИРКУТ,30.00,202.00,118.00,-68.40,-0.40,0.30,-0.30,-5.50,-4.70
89,Энел Россия,29.00,43.00,44.00,3.60,8.00,0.70,0.70,4.70,1.50
90,Россети Сибирь,29.00,68.00,58.00,-0.30,-103.80,0.50,1.80,7.10,4.10
91,Россети Центр и Приволжье,28.00,55.00,97.00,6.40,4.30,0.30,0.50,2.70,1.40
93,Отисифарм,27.00,30.00,28.00,7.20,3.70,0.90,1.10,-1.00,-1.00
94,Мостотрест,26.00,33.00,98.00,-6.20,-4.30,0.30,12.30,7.70,1.60
95,Ютэйр,25.00,74.00,58.00,3.10,8.00,0.40,-1.00,5.90,3.90
96,ОКС,24.00,24.00,2.00,-9.60,-2.50,11.30,1.30,-1.00,-1.00
97,НКХП,22.00,23.00,8.00,2.30,9.70,2.90,2.80,6.60,0.10
98,Славнефть-ЯНОС,22.00,49.00,29.00,3.50,6.30,0.80,0.30,3.60,2.00
99,Южный Кузбасс,21.00,160.00,28.00,-20.60,-1.00,0.70,-0.50,-111.60,-97.20
100,Абрау-Дюрсо,19.00,25.00,10.00,1.10,17.40,1.90,1.90,14.80,3.70
101,Россети Кубань,18.00,47.00,50.00,-1.20,-14.80,0.40,0.60,9.70,5.90
103,Россети Центр,17.00,63.00,98.00,2.10,8.20,0.20,0.40,3.10,2.30
104,КТК,15.00,24.00,40.00,-4.80,-3.20,0.40,1.70,-10.50,-3.90
105,Окей,14.00,42.00,174.00,-1.40,-9.70,0.10,1.10,2.80,1.90
106,ДЭК,13.00,24.00,108.00,1.10,12.40,0.10,0.70,4.30,1.80
107,Саратовский НПЗ,13.00,13.00,12.00,2.80,4.70,1.10,0.40,2.50,-1.00
108,Россети Урал,13.00,34.00,89.00,0.50,28.20,0.10,0.30,3.30,2.00
109,ЧМК,13.00,230.00,114.00,-0.50,-26.80,0.10,0.40,23.50,22.20
110,ТНС энерго,13.00,32.00,236.00,-3.80,-3.50,0.10,-0.60,-19.40,-11.50
111,Коршуновский ГОК,13.00,13.00,13.00,3.20,4.00,1.00,0.30,2.56,0.02
112,Квадра,12.00,44.00,55.00,0.00,308.20,0.20,0.30,4.90,3.60
113,ЦМТ,12.00,11.00,5.00,-0.10,-91.20,2.30,0.30,-31.90,2.00
114,Таттелеком,12.00,10.00,10.00,1.90,6.20,1.20,1.60,2.60,-0.30
115,ОМЗ,11.00,37.00,48.00,0.20,68.10,0.20,0.60,8.40,5.90
116,ТНС энерго Нижний Новгород,11.00,15.00,41.00,-3.80,-2.80,0.30,-1.60,-2.90,-0.80
117,Россети Волга,10.00,18.00,60.00,-0.10,-84.50,0.20,0.30,3.60,1.60
118,Павловский автобус,10.00,10.00,1.00,-0.20,-44.80,18.70,7.58,-29.00,0.65
119,Додо Пицца,10.00,10.00,3.00,-0.10,-124.60,3.20,29.60,47.20,-0.90
120,Уральская кузница,9.00,11.00,10.00,2.70,3.30,0.90,0.30,9.60,1.90
121,ГАЗ,9.00,55.00,165.00,3.30,2.70,0.10,-1.70,3.70,3.10
122,Галс Девелопмент,9.00,76.00,4.00,-1.00,-8.30,2.10,-0.50,12.00,10.70
123,Энергия РКК,8.00,16.00,42.00,-6.10,-1.40,0.20,-1.40,-10.80,-5.00
124,Ашинский МЗ,8.00,10.00,25.00,0.50,15.10,0.30,0.90,3.90,0.60
125,ОВК,8.00,43.00,80.00,-25.40,-0.30,0.10,-0.40,3.30,2.70
126,Белон,8.00,8.00,0.00,-0.70,-12.00,1314.80,1.50,973.00,0.00
127,Камчатскэнерго,8.00,17.00,15.00,2.30,3.40,0.50,1.60,3.00,1.70
128,МЕРИДИАН,8.00,8.00,2.00,0.40,19.90,3.10,4.00,-158.00,-2.62
129,Бурятзолото,8.00,-5.00,6.00,1.10,7.20,1.20,0.50,5.60,14.70
130,Пермэнергосбыт,7.00,5.00,41.00,0.70,9.80,0.20,3.80,4.40,-1.50
131,Красноярскэнергосбыт,7.00,7.00,34.00,0.80,8.80,0.20,3.95,4.18,-1.16
132,Соллерс,7.00,9.00,66.00,-2.10,-3.30,0.10,0.50,3.20,0.80
133,Курганская ГК,7.00,8.00,8.00,0.20,34.30,0.90,1.20,8.40,1.60
134,ТГК-2,6.00,19.00,44.00,-0.10,-59.40,0.10,0.20,5.10,3.50
135,ЮУНК,5.00,5.00,0.00,0.20,20.40,53.00,0.60,-21.78,0.00
136,ТНС энерго Воронеж,5.00,6.00,26.00,0.70,6.80,0.20,3.90,5.30,1.00
137,Россети Северо-Запад,5.00,20.00,48.00,-1.10,-4.10,0.10,0.30,4.60,3.60
138,Европейская Электротехника,5.00,5.00,4.00,0.40,12.40,1.30,3.90,9.40,0.20
139,МагадЭн,5.00,6.00,11.00,0.90,4.90,0.40,1.50,4.30,1.20
140,Газпром РнД (Ростовоблгаз),4.00,4.00,8.00,0.80,5.50,0.60,0.25,3.46,1.05
141,Россети Северный Кавказ,4.00,14.00,28.00,-11.50,-0.40,0.20,-0.20,-1.60,-1.20
142,ТНС энерго Ростов-на-Дону,4.00,9.00,44.00,0.20,21.00,0.10,-2.80,9.10,4.60
144,Россети Юг,4.00,24.00,41.00,-1.20,-3.30,0.10,1.60,7.50,6.20
145,Красный Октябрь,4.00,4.00,15.00,0.40,11.50,0.30,0.50,4.90,-0.10
148,ТГК-14,4.00,5.00,13.00,0.30,12.00,0.30,0.60,3.50,1.00
149,ИСКЧ,4.00,4.00,1.00,0.10,51.70,3.50,58.90,14.30,0.30
150,Русполимет,4.00,10.00,15.00,0.00,-289.00,0.30,0.60,2.40,1.50
152,Якутскэнерго,4.00,25.00,20.00,-2.00,-1.80,0.20,3.40,7.60,6.50
158,OR Group (Обувь России),3.00,15.00,11.00,0.60,4.60,0.20,0.20,6.60,5.50
160,Северо-Западное Пароходство,2.00,7.00,11.00,1.30,1.90,0.20,0.30,1.90,1.20
161,НПО Наука,2.00,3.00,2.00,0.00,140.40,1.30,0.90,11.70,3.70
163,ТНС энерго Кубань,2.00,5.00,50.00,-0.50,-4.50,0.00,-2.40,20.10,11.50
164,Globaltruck,2.00,5.00,10.00,0.10,31.50,0.20,0.40,5.10,3.00
165,Светофор Групп,2.00,2.00,0.00,0.10,28.80,6.00,-10.90,15.20,0.40
166,Химпром,2.00,6.00,15.00,0.90,2.10,0.10,0.60,2.80,1.90
167,ТНС энерго Марий Эл,2.00,2.00,7.00,0.30,6.90,0.20,1.60,6.50,1.80
168,Нижнекамскшина,2.00,4.00,7.00,-4.20,-0.40,0.20,-0.70,-0.70,-0.40
169,Россети Томск (ТРК),2.00,1.00,7.00,-0.30,-4.60,0.20,0.50,13.50,-0.60
170,ЧЗПСН,1.00,3.00,6.00,0.00,72.80,0.30,0.10,18.40,9.90
171,Сахалинэнерго,1.00,3.00,10.00,-2.70,-0.50,0.10,0.50,0.60,0.30
172,РБК,1.00,15.00,6.00,0.50,2.80,0.20,-0.10,11.70,10.60
174,Росинтер,1.00,6.00,4.00,-1.80,-0.60,0.30,-0.30,3.10,2.50
175,ММЦБ,1.00,1.00,0.00,0.10,8.50,4.30,5.90,6.70,-0.20
178,Калужская сбытовая компания,1.00,5.00,22.00,0.10,11.60,0.00,0.90,8.20,6.50
179,Фармсинтез,1.00,1.00,0.00,-0.50,-1.80,2.40,1.50,-2.80,-0.80
180,Челябэнергосбыт,1.00,7.00,40.00,0.20,5.00,0.00,1.00,12.30,10.80
191,Омскшина,0.00,0.00,11.00,0.00,14.50,0.00,0.30,2.30,0.10
194,ВХЗ,0.00,1.00,3.00,0.00,9.00,0.10,1.00,7.80,4.40
196,Наука-Связь,0.00,1.00,1.00,0.00,7.10,0.20,0.30,2.10,1.20
198,Мультисистема,0.00,0.00,1.00,0.00,65.40,0.40,2.50,46.40,7.20
201,Владимирэнергосбыт,0.00,0.00,0.00,-0.50,-0.20,0.40,-0.30,20.00,14.10
202,Медиахолдинг,0.00,0.00,0.00,-0.30,-0.20,79.20,-2.10,-1.10,-0.80
205,ТКСМ,0.00,0.00,0.00,0.00,4.80,0.30,0.60,3.50,0.00
206,МедиаВиМ,0.00,0.00,0.00,0.00,2.70,0.10,0.10,2.10,0.00
212,КМЗ,4.63,0.00,2.00,0.20,0.00,0.00,0.00,9.22,-1.00
216,КОКС,2.34,38.00,92.00,-14.40,0.00,0.03,0.00,2.20,2.20
217,Физика,1.07,0.97,1.00,0.20,6.00,1.84,0.37,2.60,-0.27
219,Самолет,147.17,29.00,60.00,3.20,0.00,0.00,0.00,2.40,2.40
222,Евраз,4.28,237.00,704.00,61.20,0.00,0.00,0.00,1.50,1.50
224,Морион,0.71,0.00,2.00,0.20,0.00,0.00,0.00,-2.00,-2.00
225,Т Плюс,0.00,126.00,384.00,11.30,0.00,0.00,0.00,2.30,2.30
227,Уралкалий,151.01,310.00,195.00,-2.20,0.00,0.00,0.00,3.50,3.50
